"Checked
Overené","Commands
Príkazy","Mittigation / Best practice configuration
Mitigácia / Konfigurácia typu “Best practice”","Attack / Issue
Útok / Problém","Plane [DATA|CONTROL
|MANAGEMENT]","Protocol
Protokol","Severity
Závažnosť
[CRITICAL|HIGH
|MEDIUM|LOW|NOTIFY]
CCNA SEC STUDY GUIDE","Facility
Zariadenie
[R/L3SW|L2SW]","Facility layer
Zariadenie operujúce na vrstve
[ACC/DIST/CORE]","Source(s)
Zdroj(e)","Prerequisite
Prerekvizita
","Ports
Porty","Comments
Komentáre","MY Comment"
,"ntp peer <ip adddress>
ip access-list standard <acl name>
 remark permit only this IP 
 permit <ip adddress> <wildcard mask>
 remark deny other 
 deny any log-input
ntp access-group serve-only <acl name>
interface <interface name> <interface id>
 ntp disable","Setup NTP peer relationship to have cross validation of time and backup source / Nastavenie NTP peer s inými sieťovými zariadeniami na krížovú validáciu času a záložný zdroj času","NONE / NIE JE","Management","NTP","MEDIUM","ALL","ALL","Hardening Cisco Routers",,,,"https://blog.ine.com/2008/07/28/ntp-access-control, https://www.ccexpert.us/global-configuration/configuring-ntp-access-restrictions.html, http://www.n-cg.net/CiscoNTP.htm, https://mrncciew.com/2013/04/28/ntp-basics/, https://community.cisco.com/t5/routing/ntp-access-group/td-p/1253447 https://blog.noblinkyblinky.com/2019/08/02/configuring-ntp-on-a-cisco-device/"
,"interface <interface name> <interface id>
 shutdown","Explicit shutdown unused interfaces / Explicitne zakázať nepoužívané porty","Attacker with physical access to device or port can connect to device and can eavesdrop or send malicious content / Útočník s fyzickým prístupom k zariadeniu alebo portu môže odpočúvať alebo posielať škodlivý obsah","Data","NONE","CRITICAL","ALL","ALL","Cisco Router Hardening
Network Security Auditing",,,,
,"interface loopback <id>
ip address <ip paddress>","Create Loopback interface with IP address / Vytvorť Loopback rozhranie s IP adresou","Source interface for management and control plane protocols / Zdrojové rozhranie pre management a control protokoly","Management / Control","NONE","MEDIUM","ALL","ALL","
Cisco Guide to Harden Cisco IOS Devices https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco",,,,
,"ip access-list standard <acl name>
  remark Deny SNMP from VLAN 20
  deny ip <ip address> <wildcard mask>

ipv6 access-list <acl name>
  remark Deny SNMP from VLAN 20
  deny <ipv6 address> <prefix> any","Description of every ACL member to better identification / Popis každého pravidla v ACL pre lepšiu identifikáciu","ACL rule identification / Identifikácia pravidla v ACL","Management","NONE","LOW","ALL","ALL","Cisco Guide to Harden Cisco IOS Devices https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html",,,,
,"interface <interface name> <interface id>
 description PRODUCTION_SERVER","Descption of every interface / Popis každého rozhrania","Interface identification / Indentifikácia rozhrania","Management","NONE","LOW","ALL","ALL",,,,,
,"ip ssh source-interface loopback <id>","Specify loopback source interface for SSH /  Definovanie loopback zdrojového rozhrania pre SSH","SSH source interface is not same on every boot / SSH zdrojové rozhranie nie je rovnaké pri každom reštarte","Management","SSH","MEDIUM","ALL","ALL",,,,,
,"ip ssh port 2223

OR

ip access-list extended <acl name>
 remark *** KNOCK ***
 permit udp any any eq 65535 log-input
 remark *** TRUSTED ***
 permit tcp any any established
 remark *** DENIED ***
 deny   tcp any any log input
 remark *** PERMITED ***
 permit ip any any
 
!! WAN Interface !!
 
interface <interface name> <interface id>
 ip access-group <acl name>
 ipv6 traffic-filter <acl name>
 
!! KNOCK_ACL env Variable !!
 
event manager environment <env name> <acl name>
 
!! Port Knocking EEM applet !!
 
event manager applet KNOCK
 event syslog pattern ""%SEC-6-IPACCESSLOGP: list $KNOCK_ACL permitted *""
 action 1.0 regexp ""[0-9]+\.[0-9]+\.[0-9]+\.[0-9]+"" $_syslog_msg ADDR
 action 1.1 regexp ""\([0-9]+\),"" ""$_syslog_msg"" PORT
 action 1.2 regexp ""[0-9]+"" ""$PORT"" PORT 
 action 2.0 syslog msg ""Received a knock from $ADDR on port $PORT...""
 action 2.1 syslog msg ""Adding $ADDR to the $KNOCK_ACL ACL""
 action 3.0 cli command ""enable""
 action 3.1 cli command ""configure terminal""
 action 3.2 cli command ""ip access-list extended $KNOCK_ACL""
 action 3.3 cli command ""1 permit tcp host $ADDR any eq 22""
 action 4.0 WAIT 15
 action 5.0 syslog msg ""Removing $ADDR to the $KNOCK_ACL ACL""
 action 6.0 cli command ""no permit tcp host $ADDR any eq 22""
 action 6.1 cli command ""exit""","Specify different port for SSH or apply port knocking / Špecifikovanie iného portu pre SSH ako štandardného alebo aplikovanie port knocking","DOS on standard SSH port 22 / DOS útok na štandardný SSH port 22","Management","SSH","HIGH","ALL","ALL",,,,,
,"line vty <num> <num>
 transport output none
line tty <num> <num>
 transport output none
line con <num>
 transport output none
line aux <num>
 transport output none","Disable outbound management connections when not used (telnet, etc.)/ Vypnutie odchádzajúcich spojení pre protokoly na manažment zariadení pokiaľ sa nepoužívajú (telnet a pod.)","Unauthorized access to management of device  / Nepovolený prístup k manažmentu konfigurácie zariadenia","Management","TELNET
SSH","HIGH","ALL","ALL","Cisco Guide to Harden Cisco IOS Devices https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html",,,,
,"ip scp server enable
copy startup-config scp://<username>@<ip address>/backup","Enable backup secure server backup (SFTP, SCP)/ Zapnutie zabezpečenej zálohy na server (SFTP, SCP)","Eavesdropping of device configurations during backup / Odpočuvanie konfigurácií zariadení pri zálohe","Management","NONE","HIGH","ALL","ALL","Cisco Guide to Harden Cisco IOS Devices https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_usr_ssh/configuration/xe-3s/sec-usr-ssh-xe-3s-book/sec-usr-ssh-sec-copy.pdf",,,,"Cisco Guide to Harden Cisco IOS Devices https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_usr_ssh/configuration/xe-3s/sec-usr-ssh-xe-3s-book/sec-usr-ssh-sec-copy.pdf"
,,,,,,,,,,,,,
,"secure boot config","Enable protection to deletion of configuration / Zapnutie ochrany pred výmazom konfigurácie","Deletion of configuration / Vymazanie konfigurácie","Management","NONE","HIGH","ALL","ALL","CCNA SECURITY STUDY GUIDE",,,,
,"archive
write-memory
time-period <num>
log changes
log config
logging enable
logging size <num>
hidekeys
notify syslog
maximum <num>","Periodically save configuration for easy rollback, log changes of it / Periodické zálohovanie konfigurácie a logovanie jej zmien","Ability to get diff of changes of configuration and rollback / Možnosť urobiť diff zmien konfigurácií a jej návrat","Management","NONE","MEDIUM","ALL","ALL","CCNA SECURITY STUDY GUIDE
Cisco Guide to Harden Cisco IOS Devices https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html",,,,"Xca3-08 + xca5"
,"ip access-list standard <acl name>
 deny any log-input

ipv6 access-list <acl name>
 deny any any log-input","Log Deny rules from ACL / Logovanie pravidiel zahodenia paketov v ACL","DOS attack or trying to access what is not permited  / DOS útok alebo pokus o prístup k tomu, čo nie je povolené","Management","NONE","MEDIUM","ALL","ALL","Hardening Cisco Routers",,,,
,"memory free low-watermark processor <threshold>
memory free low-watermark io <threshold>","Setup notification when memory is running low / Nastavenie notifikácie pri dochádzaní pamäte","Memory is running low / Nízky stav voľnej pamäte","Management","NONE","MEDIUM","ALL","ALL","Cisco Guide to Harden Cisco IOS Devices https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
Cisco SAFE Reference Guide",,,,
,"memory reserve critical <value> ","Reserve memory for critical notifications when memory is running low / Rezervovanie pamäte pre kritické notifikácie pri nedostatku pamäte","Log notifications cannot be logged when memory is running low / Logovacie správy nemôžu byť zaznamenané kvôli nedostatku pamäte","Management","NONE","HIGH","ALL","ALL","Cisco Guide to Harden Cisco IOS Devices https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
Cisco SAFE Reference Guide",,,,
,"snmp-server enable traps cpu threshold
snmp-server host <ip adddress> version 3 priv <user> cpu
process cpu threshold type <type> rising <percentage> interval <seconds>
process cpu statistics limit entry-percentage 

","Setup notification when CPU is high loaded  / Nastavenie notifikácie vysokom zaťažení CPU","CPU is load is high / Vysoké zaťaženie CPU","Management","NONE","MEDIUM","ALL","ALL","Cisco Guide to Harden Cisco IOS Devices https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
Cisco SAFE Reference Guide",,,,
,"memory reserve console 4096","Reserve memory for management connection when memory is running low / Rezervovanie pamäte preprotokoly na manažment zariadení pri nedostatku pamäte","High load of device caused inability to log into it / Vysoké zaťaženie zariadenia spôsobilo nemožnosť prihlásenia k nemu","Management","NONE","HIGH","ALL","ALL","Cisco Guide to Harden Cisco IOS Devices https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html",,,,
,"exception memory ignore overflow io
exception memory ignore overflow processor
exception crashinfo maximum files <number-of-files>","Enable mechanisms for memory leak detection / Povoliť mechanizmy na detekciu pretečenia pamäte","Memory leak / Pretečenie pamäte","Management","NONE","MEDIUM","ALL","ALL","Cisco Guide to Harden Cisco IOS Devices https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html",,,,
,"no boot network
no service config","Prevent loading operating system image or configuration files from network places when it it not necessary / Vypnutie načítania operačného systému alebo konfigurácie zo siete pokiaľ to nie je nutné","Loading malicious configuration from network while booting / Načítanie škodlivej konfigurácie zo siete počas bootovania","Management","NONE","MEDIUM","ALL","ALL","Hardening Cisco Routers",,,,
,"no proxy-arp","Disable Proxy ARP / Vypnutie Proxy ARP","Proxy ARP can allow PVLAN to be bypassed and extends broadcast domain / Proxy ARP môže viesť k obídeniu PVLAN a rozširuje broadcast doménu","Control","ARP","CRITICAL","R, L3SW","CORE/EDGE
DISTRIBUTION
COLLAPSED COREDIST
COLLAPSED DISTACC
COLLAPSED ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco Router Hardening",,,,
,"no ip source-route","Disable IP source routing / Vypnutie IP source routing","DOS to one of node which was specified in header as path to network, unable to communicate, establish MITM attack / DOS útok na stanicu, cez ktorú bola špecifikovaná cesta a teda nemožnosť komunikácie s koncovým bodom. Alebo zosnovanie MITM útoku","Control","IPv4","CRITICAL","R, L3SW","CORE/EDGE
DISTRIBUTION
COLLAPSED COREDIST
COLLAPSED DISTACC
COLLAPSED ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
",,,,"ip source-route is a completely different thing to policy routing.Policy routing allows you to route according to various parameters, not just destination IP address. It is often used for routing by IP source address. IP source-route is a little-used option that allows the originator of a packet to decide which routers he should go through to get to his destination. He does this by supplying the full path of routers on the options header of the IP packet. IP source routing is extremely dangerous, and most NetAdmins disable it in live networks. When you route by the source address,your gateway or first router will place a header that tells every router along the way which route to take, if a route goes down, the original router may not know the route went down, and continue sending traffic into a black hole."
,"ip verify unicast source reachable-via rx","Enable Unicast reverse path forwarding strict mode / Zapnutie reverse path forwarding strict/loose mode","DOS attack through spoofed IP addresses or remote attack to routing protocol / DOS útok pomocou podvrhnutej IP adresy alebo vzdialený útok na smerovací protokol","Control","IPv4","HIGH","R, L3SW","CORE/EDGE
DISTRIBUTION
COLLAPSED COREDIST
COLLAPSED DISTACC
COLLAPSED ALL","OSPF Security: Attacks and Defenses
https://www.sanog.org/resources/sanog28/SANOG28-Tutorial_OSPF-Security-Attacks-and-Defences-Manjul.pdf
Network Security Auditing
CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
",,,,
,,,,,,,,,,,,,
,"No ip bootp server","Disable unused services due to potential security issue and saving memory and CPU / Vypnutie nepoužívaných služieb z bezpečnostných dôvodov a na šetrenie CPU a pamäte ","Old, unused an unsecured services can be used malicious purpose / Nepoužívané, staré a nezabezpečené služby môžu byť použité na škodlivé účely","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST","HIGH","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST",,,,
,"no service pad","Disable unused services due to potential security issue and saving memory and CPU / Vypnutie nepoužívaných služieb z bezpečnostných dôvodov a na šetrenie CPU a pamäte ","Old, unused an unsecured services can be used malicious purpose / Nepoužívané, staré a nezabezpečené služby môžu byť použité na škodlivé účely","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST","HIGH","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST",,,,
,"No Ip identd","Disable unused services due to potential security issue and saving memory and CPU / Vypnutie nepoužívaných služieb z bezpečnostných dôvodov a na šetrenie CPU a pamäte ","Old, unused an unsecured services can be used malicious purpose / Nepoužívané, staré a nezabezpečené služby môžu byť použité na škodlivé účely","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST","HIGH","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST",,,,
,"no vstack","Disable unused services due to potential security issue and saving memory and CPU / Vypnutie nepoužívaných služieb z bezpečnostných dôvodov a na šetrenie CPU a pamäte ","Old, unused an unsecured services can be used malicious purpose / Nepoužívané, staré a nezabezpečené služby môžu byť použité na škodlivé účely","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST","HIGH","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST",,,,"smart install cisco vulnerability – disable it or ACL block tcp port 4786"
,"no ip http server
no ip http secure server","Disable unused services due to potential security issue and saving memory and CPU / Vypnutie nepoužívaných služieb z bezpečnostných dôvodov a na šetrenie CPU a pamäte ","Old, unused an unsecured services can be used malicious purpose / Nepoužívané, staré a nezabezpečené služby môžu byť použité na škodlivé účely","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST","HIGH","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST",,,,
,"no service tcp-small-server","Disable unused services due to potential security issue and saving memory and CPU / Vypnutie nepoužívaných služieb z bezpečnostných dôvodov a na šetrenie CPU a pamäte ","Old, unused an unsecured services can be used malicious purpose / Nepoužívané, staré a nezabezpečené služby môžu byť použité na škodlivé účely","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST","HIGH","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST",,,,
,"no service udp-small-server","Disable unused services due to potential security issue and saving memory and CPU / Vypnutie nepoužívaných služieb z bezpečnostných dôvodov a na šetrenie CPU a pamäte ","Old, unused an unsecured services can be used malicious purpose / Nepoužívané, staré a nezabezpečené služby môžu byť použité na škodlivé účely","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST","HIGH","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST",,,,
,"no service finger","Disable unused services due to potential security issue and saving memory and CPU / Vypnutie nepoužívaných služieb z bezpečnostných dôvodov a na šetrenie CPU a pamäte ","Old, unused an unsecured services can be used malicious purpose / Nepoužívané, staré a nezabezpečené služby môžu byť použité na škodlivé účely","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST","HIGH","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST",,,,
,"int FastEthernet 0/1
 no mop enabled","Disable unused services due to potential security issue and saving memory and CPU / Vypnutie nepoužívaných služieb z bezpečnostných dôvodov a na šetrenie CPU a pamäte ","Old, unused an unsecured services can be used malicious purpose / Nepoužívané, staré a nezabezpečené služby môžu byť použité na škodlivé účely","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST","HIGH","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST",,,,"L3SW not responding this command in gns3"
,"no ip domain lookup","Disable unused services due to potential security issue and saving memory and CPU / Vypnutie nepoužívaných služieb z bezpečnostných dôvodov a na šetrenie CPU a pamäte ","Old, unused an unsecured services can be used malicious purpose / Nepoužívané, staré a nezabezpečené služby môžu byť použité na škodlivé účely","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST","HIGH","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST","VARY – SEE SPECIFIC VENDOR CHECKLIST",,,,
,"interface <interface name> <interface id>
 no ip unreachables","Disable ICMP Unreachable message / Vypnutie spáv ICMP Unreachable","Attacker can find out that IP which he tried to ping is incorrect / Útočník môže zistiť, že IP adresa, na ktorú skušal ping je nesprávna","Data","ICMP","HIGH","R, L3SW","CORE/EDGE
DISTRIBUTION
COLLAPSED COREDIST
COLLAPSED DISTACC
COLLAPSED ALL","Cisco Guide to Harden Cisco IOS Devices https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
Cisco IOS features that you should disable or restrict https://networklessons.com/uncategorized/cisco-ios-features-that-you-should-disable-or-restrictCisco ",,,,
,"interface <interface name> <interface id>
 no ip mask-reply","Disable ICMP Mask reply message / Vypnutie spáv ICMP Mask reply","Attacker can find out subnet mask by ICMP Mask reply / Útočník môže zistiť masku podsiete pomocou ICMP Mask reply","Data","ICMP","HIGH","R, L3SW","CORE/EDGE
DISTRIBUTION
COLLAPSED COREDIST
COLLAPSED DISTACC
COLLAPSED ALL","Hardening Cisco Routers
Cisco IOS features that you should disable or restrict
https://networklessons.com/uncategorized/cisco-ios-features-that-you-should-disable-or-restrict
",,,,
,"interface <interface name> <interface id>
 no ip directed-broadcast","Disable ICMP echo message to broacast addresses, disable directed broadcasts / Vypnutie ICMP echo správ na broadcast adresu, vypnutie directed broadcasts","Allows DOS Smurf attack, mapping network by pinging broadcast address of remote network  / Umožňuje DOS Smurf útok, mapovanie siete pomocou ping na broadcast adresu vzdialenej siete","Data","IPv4","CRITICAL","R, L3SW","CORE/EDGE
DISTRIBUTION
COLLAPSED COREDIST
COLLAPSED DISTACC
COLLAPSED ALL","Cisco Router Hardening
Hardening Cisco Routers
Cisco IOS features that you should disable or restrict
https://networklessons.com/uncategorized/cisco-ios-features-that-you-should-disable-or-restrict",,,,"Default in config"
,"interface <interface name> <interface id>
 no ip redirects","Disable ICMP Redirects message / Vypnutie spáv ICMP Redirects","Attacker can find out informations such as routes and paths or utilize CPU to high value / Útočník môže zistiť smerovacie informácie alebo vyťažiť CPU","Data","ICMP","HIGH","R, L3SW","CORE/EDGE
DISTRIBUTION
COLLAPSED COREDIST
COLLAPSED DISTACC
COLLAPSED ALL","Cisco Guide to Harden Cisco IOS Devices https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
Cisco IOS features that you should disable or restrict https://networklessons.com/uncategorized/cisco-ios-features-that-you-should-disable-or-restrictCisco ",,,,"It improves security because if someone inserts another router on the network that the admins may not know about, it will not send the devices traffic to the other questionable device. The questionable device may have routes to outside networks that aren't approved, or doing other things wih the packets it receives. Turning off redirects (and proxy-arp) enforces routing policy also.
Xca3-08 and all other services which should be disabled are described thre really good"
,"configuration mode exclusive auto","Allow only one administrator to change configuration of device simultaneously / Povolit súčasne iba jednému administrátorovi vykonávanie zmien v konfigurácii","Inconsistency when more than one administrator changes configuration / Nekonzistenia konfiguračných súborov pri zmenách konfigurácie viac ako jedným administrátorom","Management","NONE","HIGH","ALL","ALL","Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html",,,,
,"service sequence-numbers","Add sequence number to every syslog message / Pridanie sekvenčného čísla ku každej syslog správe","NONE / NIE JE","Management","NONE","LOW","ALL","ALL","Hardening Cisco Routers",,,,
,"service tcp-keepalives-in
service tcp-keepalives-out","Drop broken and hung TCP session / Terminovanie zaseknutého TCP spojenia","Unable to log in when TCP session hangs / Nemožnosť prihlásenia pri zaseknutom TCP spojení","Management","TCP","MEDIUM","ALL","ALL","Cisco Guide to Harden Cisco IOS Devices https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html",,,,
,"router bgp 65200
 neighbor 80.80.80.80 password cisco   ","Authentication of routing protocols updates and peers (not in clear text) / Autentizácia smerovacích protokolov (nie heslá v otvorenej podobe)","Injecting poisoned routes / Vloženie a manipulácia so smerovacími informáciami","Control","RIP
EIGRP
OSPF
BGP","HIGH","R, L3SW","CORE/EDGE
DISTRIBUTION
COLLAPSED COREDIST
COLLAPSED DISTACC
COLLAPSED ALL","Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
Cisco CCNA Security Study GuideCIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco CCNA Security Study Guide",,,,
,"key chain <chain name>
 key<id>
  key-string <password>
interface <interface name> <interface id>
 ip authentication mode eigrp <as> md5
 ip authentication keyc-chain eigrp <as> <chain name>
 ipv6 authentication mode eigrp <as> md5
 ipv6 authentication keyc-chain eigrp <as> <chain name>
","Authentication of routing protocols updates and peers (not in clear text) / Autentizácia smerovacích protokolov (nie heslá v otvorenej podobe)","Injecting poisoned routes / Vloženie a manipulácia so smerovacími informáciami","Control","RIP
EIGRP
OSPF
BGP","HIGH","R, L3SW","CORE/EDGE
DISTRIBUTION
COLLAPSED COREDIST
COLLAPSED DISTACC
COLLAPSED ALL","Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
Cisco CCNA Security Study GuideCIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco CCNA Security Study Guide",,,,"TODO ADDRESS FAMILIES
https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/iproute_eigrp/configuration/15-s/ire-15-s-book/ire-rte-auth.html"
,"key chain <chain name>
 key<id>
  key-string <password>
router ospf <process id>
 area <ared id> authentication message-digest
 area <area id> authentication key-chain <chain name>
ipv6 router ospf <process id>
 area <area id> authentication message-digest
interface <interface name> <interface id>
 ip ospf message-digest-key <key id> md5|sha <password>
 ip ospf authentication message-digest
 ospfv3 authentication md5 0 27576134094768132473302031209727
 no ip ospf authentication-key OPENKEY
  ","Authentication of routing protocols updates and peers (not in clear text) / Autentizácia smerovacích protokolov (nie heslá v otvorenej podobe)","Injecting poisoned routes / Vloženie a manipulácia so smerovacími informáciami","Control","RIP
EIGRP
OSPF
BGP","HIGH","R, L3SW","CORE/EDGE
DISTRIBUTION
COLLAPSED COREDIST
COLLAPSED DISTACC
COLLAPSED ALL","Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
Cisco CCNA Security Study GuideCIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco CCNA Security Study Guide",,,,"TODO ADDRESS FAMILIES, check md5 and if sha is supported, check ipsec auth  ospf v3 ipsec auth
https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/iproute_ospf/command/iro-cr-book/ospf-a1.html"
,"key chain <chain name>
 key <id>
  key-string <password>
interface <interface name> <interface id>
 ip rip authentication key-chain <chain name>
 ip rip authentication mode md5","Authentication of routing protocols updates and peers (not in clear text) / Autentizácia smerovacích protokolov (nie heslá v otvorenej podobe)","Injecting poisoned routes / Vloženie a manipulácia so smerovacími informáciami","Control","RIP
EIGRP
OSPF
BGP","HIGH","R, L3SW","CORE/EDGE
DISTRIBUTION
COLLAPSED COREDIST
COLLAPSED DISTACC
COLLAPSED ALL","Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
Cisco CCNA Security Study GuideCIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco CCNA Security Study Guide",,,,"TODO RIPNG AUTH"
,"NO area <area id> virtual-link <ip address>","Disable OSPF virtual links / Vypnutie virtuálnych liniek pre OSPF","OSPF Virtual links degradates performance of network / OSPF virtuálne linky degradujú výkon","Control","OSPF","HIGH","R, L3SW","CORE/EDGE
DISTRIBUTION
COLLAPSED COREDIST
COLLAPSED DISTACC
COLLAPSED ALL",,,,,
,"router rip
 passive-interface default
 no passive-interface <interface name> <interface id>

router ospf <process>
 passive-interface default
 no passive-interface <interface name> <interface id>

router eigrp <as>
 passive-interface default
 no passive-interface <interface name> <interface id>","Specify passive interfaces which do not receive dynamic routing protocols updates / Špecifikovanie rozhraní, ktoré nebudú prijímať routovacie informácie","Host, devices, users and attackers can see routing updates and network topology or connect malicious device to send and receive updates / Koncové zariadenie, užívateľ a útočník môžu vidiet smerovacie správy a topológiu siete alebo pripojenie škodlivého zariadenia, ktoré vysielať a prijímať smerovacie správy","Control","RIP EIGRP OSPF BGP","HIGH","R, L3SW","CORE/EDGE
DISTRIBUTION
COLLAPSED COREDIST
COLLAPSED DISTACC
COLLAPSED ALL","OSPF Security: Attacks and Defenses
https://www.sanog.org/resources/sanog28/SANOG28-Tutorial_OSPF-Security-Attacks-and-Defences-Manjul.pdf",,,,
,"router ospf 1|eigrp1|bgp
  router-id <ip-address> 
ipv6 router ospf  <process-id>
  router-id <ip-address> ","Specify routing protocol identification number for each router (router ID) / Špecifikovanie identifikátorov smerovacích protokolov pre každý router (router ID)","Inability to start routing protocol processes in some uses cases with IPv6 / Nemožnosť sprevádzkovať procesy smerovacích protokolov v určitých prípadoch pri použití IPv6","Control","RIP EIGRP OSPF BGP","MEDIUM","R, L3SW","CORE/EDGE
DISTRIBUTION
COLLAPSED COREDIST
COLLAPSED DISTACC
COLLAPSED ALL",,,,,"TODO ADDRESS FAMILIES, ipv6 ospfv3 – can be add isntead of ipv6 router ospf"
,"router eigrp <as>
 (eigrp) log-neighbor-changes","Log routing protocols update changes / Zaznamenie zmeny v logu pri zmenách v smerovaní","Traceability of routing protocol misconfiguration and malfunction / Vysledovateľnosť nefunkčnosti routovacieho protokolu a nesprávneho nastavenia","Control","RIP EIGRP OSPF BGP","MEDIUM","R, L3SW","CORE/EDGE
DISTRIBUTION
COLLAPSED COREDIST
COLLAPSED DISTACC
COLLAPSED ALL","Cisco SAFE Reference Guide
OSPF Link-State Database Overload Protection https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/iproute_ospf/configuration/15-sy/iro-15-sy-book/iro-lk-state-db.pdf",,,,
